PC=C855 OP: LDA 00FF(IMM)  A:00 X:00 Y:00, P:6E, S:FA
PC=C857 OP: PLA ----(IMP)  A:FF X:00 Y:00, P:EC, S:FA
PC=C858 OP: BNE C863(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C85A OP: BMI C863(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C85C OP: BVC C863(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C85E OP: BCS C863(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C860 OP: JMP C867(ABS)  A:00 X:00 Y:00, P:6E, S:FB
PC=C867 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:6E, S:FB
PC=C868 OP: LDA 0000(IMM)  A:00 X:00 Y:00, P:6E, S:FB
PC=C86A OP: STA 0001(ZPG)  A:00 X:00 Y:00, P:6E, S:FB
PC=C86C OP: BIT 0001(ZPG)  A:00 X:00 Y:00, P:6E, S:FB
PC=C86E OP: SEC ----(IMP)  A:00 X:00 Y:00, P:2E, S:FB
PC=C86F OP: LDA 00FF(IMM)  A:00 X:00 Y:00, P:2F, S:FB
PC=C871 OP: PHA ----(IMP)  A:FF X:00 Y:00, P:AD, S:FB
PC=C872 OP: LDA 0000(IMM)  A:FF X:00 Y:00, P:AD, S:FA
PC=C874 OP: PLA ----(IMP)  A:00 X:00 Y:00, P:2F, S:FA
PC=C875 OP: BEQ C880(REL)  A:FF X:00 Y:00, P:AD, S:FB
PC=C877 OP: BPL C880(REL)  A:FF X:00 Y:00, P:AD, S:FB
PC=C879 OP: BVS C880(REL)  A:FF X:00 Y:00, P:AD, S:FB
PC=C87B OP: BCC C880(REL)  A:FF X:00 Y:00, P:AD, S:FB
PC=C87D OP: JMP C884(ABS)  A:FF X:00 Y:00, P:AD, S:FB
PC=C884 OP: RTS ----(IMP)  A:FF X:00 Y:00, P:AD, S:FB
PC=C603 OP: JSR C885(ABS)  A:FF X:00 Y:00, P:AD, S:FD
PC=C885 OP: NOP ----(IMP)  A:FF X:00 Y:00, P:AD, S:FB
PC=C886 OP: CLC ----(IMP)  A:FF X:00 Y:00, P:AD, S:FB
PC=C887 OP: LDA 00FF(IMM)  A:FF X:00 Y:00, P:AC, S:FB
PC=C889 OP: STA 0001(ZPG)  A:FF X:00 Y:00, P:AC, S:FB
PC=C88B OP: BIT 0001(ZPG)  A:FF X:00 Y:00, P:AC, S:FB
PC=C88D OP: LDA 0055(IMM)  A:FF X:00 Y:00, P:EC, S:FB
PC=C88F OP: ORA 00AA(IMM)  A:55 X:00 Y:00, P:6C, S:FB
PC=C891 OP: BCS C89E(REL)  A:FF X:00 Y:00, P:EC, S:FB
PC=C893 OP: BPL C89E(REL)  A:FF X:00 Y:00, P:EC, S:FB
PC=C895 OP: CMP 00FF(IMM)  A:FF X:00 Y:00, P:EC, S:FB
PC=C897 OP: BNE C89E(REL)  A:FF X:00 Y:00, P:6F, S:FB
PC=C899 OP: BVC C89E(REL)  A:FF X:00 Y:00, P:6F, S:FB
PC=C89B OP: JMP C8A2(ABS)  A:FF X:00 Y:00, P:6F, S:FB
PC=C8A2 OP: NOP ----(IMP)  A:FF X:00 Y:00, P:6F, S:FB
PC=C8A3 OP: SEC ----(IMP)  A:FF X:00 Y:00, P:6F, S:FB
PC=C8A4 OP: CLV ----(IMP)  A:FF X:00 Y:00, P:6F, S:FB
PC=C8A5 OP: LDA 0000(IMM)  A:FF X:00 Y:00, P:2F, S:FB
PC=C8A7 OP: ORA 0000(IMM)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8A9 OP: BNE C8B4(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8AB OP: BVS C8B4(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8AD OP: BCC C8B4(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8AF OP: BMI C8B4(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8B1 OP: JMP C8B8(ABS)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8B8 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8B9 OP: CLC ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8BA OP: BIT 0001(ZPG)  A:00 X:00 Y:00, P:2E, S:FB
PC=C8BC OP: LDA 0055(IMM)  A:00 X:00 Y:00, P:EE, S:FB
PC=C8BE OP: AND 00AA(IMM)  A:55 X:00 Y:00, P:6C, S:FB
PC=C8C0 OP: BNE C8CB(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8C2 OP: BVC C8CB(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8C4 OP: BCS C8CB(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8C6 OP: BMI C8CB(REL)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8C8 OP: JMP C8CF(ABS)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8CF OP: NOP ----(IMP)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8D0 OP: SEC ----(IMP)  A:00 X:00 Y:00, P:6E, S:FB
PC=C8D1 OP: CLV ----(IMP)  A:00 X:00 Y:00, P:6F, S:FB
PC=C8D2 OP: LDA 00F8(IMM)  A:00 X:00 Y:00, P:2F, S:FB
PC=C8D4 OP: AND 00EF(IMM)  A:F8 X:00 Y:00, P:AD, S:FB
PC=C8D6 OP: BCC C8E3(REL)  A:E8 X:00 Y:00, P:AD, S:FB
PC=C8D8 OP: BPL C8E3(REL)  A:E8 X:00 Y:00, P:AD, S:FB
PC=C8DA OP: CMP 00E8(IMM)  A:E8 X:00 Y:00, P:AD, S:FB
PC=C8DC OP: BNE C8E3(REL)  A:E8 X:00 Y:00, P:2F, S:FB
PC=C8DE OP: BVS C8E3(REL)  A:E8 X:00 Y:00, P:2F, S:FB
PC=C8E0 OP: JMP C8E7(ABS)  A:E8 X:00 Y:00, P:2F, S:FB
PC=C8E7 OP: NOP ----(IMP)  A:E8 X:00 Y:00, P:2F, S:FB
PC=C8E8 OP: CLC ----(IMP)  A:E8 X:00 Y:00, P:2F, S:FB
PC=C8E9 OP: BIT 0001(ZPG)  A:E8 X:00 Y:00, P:2E, S:FB
PC=C8EB OP: LDA 005F(IMM)  A:E8 X:00 Y:00, P:EC, S:FB
PC=C8ED OP: EOR 00AA(IMM)  A:5F X:00 Y:00, P:6C, S:FB
PC=C8EF OP: BCS C8FC(REL)  A:F5 X:00 Y:00, P:EC, S:FB
PC=C8F1 OP: BPL C8FC(REL)  A:F5 X:00 Y:00, P:EC, S:FB
PC=C8F3 OP: CMP 00F5(IMM)  A:F5 X:00 Y:00, P:EC, S:FB
PC=C8F5 OP: BNE C8FC(REL)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C8F7 OP: BVC C8FC(REL)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C8F9 OP: JMP C900(ABS)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C900 OP: NOP ----(IMP)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C901 OP: SEC ----(IMP)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C902 OP: CLV ----(IMP)  A:F5 X:00 Y:00, P:6F, S:FB
PC=C903 OP: LDA 0070(IMM)  A:F5 X:00 Y:00, P:2F, S:FB
PC=C905 OP: EOR 0070(IMM)  A:70 X:00 Y:00, P:2D, S:FB
PC=C907 OP: BNE C912(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C909 OP: BVS C912(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C90B OP: BCC C912(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C90D OP: BMI C912(REL)  A:00 X:00 Y:00, P:2F, S:FB
PC=C90F OP: JMP C916(ABS)  A:00 X:00 Y:00, P:2F, S:FB
PC=C916 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C917 OP: CLC ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C918 OP: BIT 0001(ZPG)  A:00 X:00 Y:00, P:2E, S:FB
PC=C91A OP: LDA 0000(IMM)  A:00 X:00 Y:00, P:EE, S:FB
PC=C91C OP: ADC 0069(IMM)  A:00 X:00 Y:00, P:6E, S:FB
PC=C91E OP: BMI C92B(REL)  A:69 X:00 Y:00, P:2C, S:FB
PC=C920 OP: BCS C92B(REL)  A:69 X:00 Y:00, P:2C, S:FB
PC=C922 OP: CMP 0069(IMM)  A:69 X:00 Y:00, P:2C, S:FB
PC=C924 OP: BNE C92B(REL)  A:69 X:00 Y:00, P:2F, S:FB
PC=C926 OP: BVS C92B(REL)  A:69 X:00 Y:00, P:2F, S:FB
PC=C928 OP: JMP C92F(ABS)  A:69 X:00 Y:00, P:2F, S:FB
PC=C92F OP: NOP ----(IMP)  A:69 X:00 Y:00, P:2F, S:FB
PC=C930 OP: SEC ----(IMP)  A:69 X:00 Y:00, P:2F, S:FB
PC=C931 OP: SED ----(IMP)  A:69 X:00 Y:00, P:2F, S:FB
PC=C932 OP: BIT 0001(ZPG)  A:69 X:00 Y:00, P:2F, S:FB
PC=C934 OP: LDA 0001(IMM)  A:69 X:00 Y:00, P:ED, S:FB
PC=C936 OP: ADC 0069(IMM)  A:01 X:00 Y:00, P:6D, S:FB
PC=C938 OP: BMI C945(REL)  A:6B X:00 Y:00, P:2C, S:FB
PC=C93A OP: BCS C945(REL)  A:6B X:00 Y:00, P:2C, S:FB
PC=C93C OP: CMP 006B(IMM)  A:6B X:00 Y:00, P:2C, S:FB
PC=C93E OP: BNE C945(REL)  A:6B X:00 Y:00, P:2F, S:FB
PC=C940 OP: BVS C945(REL)  A:6B X:00 Y:00, P:2F, S:FB
PC=C942 OP: JMP C949(ABS)  A:6B X:00 Y:00, P:2F, S:FB
PC=C949 OP: NOP ----(IMP)  A:6B X:00 Y:00, P:2F, S:FB
PC=C94A OP: CLD ----(IMP)  A:6B X:00 Y:00, P:2F, S:FB
PC=C94B OP: SEC ----(IMP)  A:6B X:00 Y:00, P:27, S:FB
PC=C94C OP: CLV ----(IMP)  A:6B X:00 Y:00, P:27, S:FB
PC=C94D OP: LDA 007F(IMM)  A:6B X:00 Y:00, P:27, S:FB
PC=C94F OP: ADC 007F(IMM)  A:7F X:00 Y:00, P:25, S:FB
PC=C951 OP: BPL C95E(REL)  A:FF X:00 Y:00, P:E4, S:FB
PC=C953 OP: BCS C95E(REL)  A:FF X:00 Y:00, P:E4, S:FB
PC=C955 OP: CMP 00FF(IMM)  A:FF X:00 Y:00, P:E4, S:FB
PC=C957 OP: BNE C95E(REL)  A:FF X:00 Y:00, P:67, S:FB
PC=C959 OP: BVC C95E(REL)  A:FF X:00 Y:00, P:67, S:FB
PC=C95B OP: JMP C962(ABS)  A:FF X:00 Y:00, P:67, S:FB
PC=C962 OP: NOP ----(IMP)  A:FF X:00 Y:00, P:67, S:FB
PC=C963 OP: CLC ----(IMP)  A:FF X:00 Y:00, P:67, S:FB
PC=C964 OP: BIT 0001(ZPG)  A:FF X:00 Y:00, P:66, S:FB
PC=C966 OP: LDA 007F(IMM)  A:FF X:00 Y:00, P:E4, S:FB
PC=C968 OP: ADC 0080(IMM)  A:7F X:00 Y:00, P:64, S:FB
PC=C96A OP: BPL C977(REL)  A:FF X:00 Y:00, P:A4, S:FB
PC=C96C OP: BCS C977(REL)  A:FF X:00 Y:00, P:A4, S:FB
PC=C96E OP: CMP 00FF(IMM)  A:FF X:00 Y:00, P:A4, S:FB
PC=C970 OP: BNE C977(REL)  A:FF X:00 Y:00, P:27, S:FB
PC=C972 OP: BVS C977(REL)  A:FF X:00 Y:00, P:27, S:FB
PC=C974 OP: JMP C97B(ABS)  A:FF X:00 Y:00, P:27, S:FB
PC=C97B OP: NOP ----(IMP)  A:FF X:00 Y:00, P:27, S:FB
PC=C97C OP: SEC ----(IMP)  A:FF X:00 Y:00, P:27, S:FB
PC=C97D OP: CLV ----(IMP)  A:FF X:00 Y:00, P:27, S:FB
PC=C97E OP: LDA 007F(IMM)  A:FF X:00 Y:00, P:27, S:FB
PC=C980 OP: ADC 0080(IMM)  A:7F X:00 Y:00, P:25, S:FB
PC=C982 OP: BNE C98D(REL)  A:00 X:00 Y:00, P:27, S:FB
PC=C984 OP: BMI C98D(REL)  A:00 X:00 Y:00, P:27, S:FB
